_date_,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F
2021-02-01,-6.919513,-1.88422,-0.996799,0.773655,-2.640696,0.242995,0.723114
2021-03-01,-3.157535,-2.89799,2.929404,-5.480081,-0.93424,1.010951,3.017381
2021-04-01,6.790278,-4.933442,10.934244,-11.017971,-1.479601,0.621196,2.090249
2021-05-01,15.051529,-3.094051,10.406911,-0.750261,-5.300119,-1.34293,-2.186013
2021-06-01,16.056621,-0.148917,4.233487,9.469009,-4.872514,-1.454084,0.735186
2021-07-01,10.417344,0.827949,0.065911,6.22504,-0.507477,-0.063339,2.28398
2021-08-01,7.196368,0.615593,-1.079747,2.036686,2.591251,0.769976,2.93073
2021-09-01,6.339143,0.527039,-0.834962,0.381137,3.792823,1.170653,2.010357
2021-10-01,6.304337,1.203946,-1.077638,0.917785,4.506049,1.451801,1.200955
2021-11-01,6.830234,2.114653,-0.363933,-0.257369,4.797364,1.971159,1.392593
2021-12-01,7.1864,3.338721,0.035914,-0.379548,4.190436,1.060612,0.465915
2022-01-01,8.11044,3.857926,0.023089,0.014111,3.949752,0.475558,1.621087
2022-02-01,8.169166,4.470186,0.078789,-0.683327,3.714334,-0.229915,0.645131
2022-03-01,7.067722,6.38055,-1.403203,0.833749,2.171891,-0.45861,-0.393486
2022-04-01,6.704905,7.738794,-0.631081,-1.50255,2.270946,-0.150226,1.309067
2022-05-01,6.832344,8.30723,0.695306,-3.270134,1.568265,-0.637577,0.433714
2022-06-01,8.100392,9.040969,0.545101,-1.166492,0.746114,-0.632343,0.890334
2022-07-01,7.000206,9.921795,0.14253,-0.609188,-0.34528,-0.570668,0.744468
2022-08-01,5.765521,10.422774,0.317671,-1.356464,-0.869423,-0.808763,1.113008
2022-09-01,4.8233,9.783511,0.871191,-2.225376,-1.337617,-1.631164,0.823795
2022-10-01,4.625596,8.781662,0.544834,-1.90119,-1.664178,-2.823752,1.067306
2022-11-01,3.300959,7.742462,-0.705325,-0.422552,-1.300786,-3.665169,0.498927
2022-12-01,2.227455,6.578666,-1.496755,-1.119,-0.216769,-3.670879,0.776136
2023-01-01,1.707653,5.271559,-0.799007,-3.217915,0.340346,-3.250001,-0.632782
2023-02-01,2.405836,4.749306,-0.377691,-2.576408,-0.380567,-2.612556,-1.373493
2023-03-01,3.343565,3.495817,0.443529,-1.872704,0.138457,-2.270865,-1.207277
2023-04-01,2.994417,2.806186,-0.33768,-0.426269,0.498534,-2.232416,-2.378192
2023-05-01,2.311568,1.824379,-1.229994,0.540351,1.304443,-2.080431,-2.396907
2023-06-01,1.22013,0.705126,-1.074168,-1.097187,1.700614,-1.898904,-2.841584
2023-07-01,1.759764,-0.31724,-0.224267,-1.353445,2.247193,-1.605086,-2.547333
2023-08-01,1.953755,-0.535943,-0.47627,-0.030544,1.928076,-1.359319,-3.202249
2023-09-01,1.576797,0.298165,-1.209147,0.715557,2.074161,-0.710422,-2.934586
2023-10-01,1.04164,0.579142,-0.598239,-0.804577,2.018324,0.145949,-2.638315
2023-11-01,1.357142,0.692465,0.095476,-1.262054,1.337482,0.302932,-2.988332
