_date_,FAG1F,FAG2F,FAG3F,FAG4F,FAG5F,FCON1F,FCON2F,FCON3F,FCON4F,FCON5F,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F,FCPU1F,FCPU2F,FCPU3F,FEXP1F,FEXP2F,FEXP3F,FEXP4F,FEXP5F,FIMP1F,FIMP2F,FIMP3F,FIMP4F,FIMPU1F,FIMPU2F,FIMPU3F,FIMPU4F,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F,FINV1F,FINV2F,FINV3F,FINV4F,FINV5F,FSER1F,FSER2F,FSER3F,FSER4F,FSER5F,FSER6F,f202004,f202003,fvirus
2003-03-01,,,,,,4.32405,1.70882,-1.418029,-0.543982,1.412576,,,,,,,,2.488969,1.295987,-0.069034,,,,,,0.416344,-0.522985,0.431144,0.704214,-8.242845,6.608991,11.98179,7.369183,1.457293,1.414438,-0.063726,-0.768789,-1.017704,0.465412,0.981916,0.668301,0.632404,2.535989,0.308862,,,,,,,0,0,0.0
2003-04-01,,,,,,4.477596,1.815197,-1.337053,-0.314358,1.639372,,,,,,,,3.003424,0.414407,0.366249,,,,,,0.994431,-0.757813,0.070578,0.524206,-0.872588,-0.383323,0.046304,-0.123123,1.348439,0.873447,-0.4383,-1.533054,-0.621446,0.664843,1.258931,0.407357,1.246807,2.020399,-1.07162,,,,,,,0,0,0.0
2003-05-01,,,,,,4.495755,1.605153,-1.561177,-0.475261,1.819307,,,,,,,,3.554165,0.08215,0.551345,,,,,,1.430001,-1.008679,-0.45909,0.336222,-0.797054,-0.321301,0.155461,0.0692,1.264498,0.775982,-0.489471,-0.51091,-0.886373,-0.078768,1.564671,0.583824,1.834145,1.423035,-0.969474,,,,,,,0,0,0.0
2003-06-01,,,,,,4.343342,1.890569,-1.719221,-0.230879,1.031269,,,,,,,,3.478735,0.104018,0.811537,,,,,,1.148895,-0.835841,-0.545666,0.247973,-0.696659,-0.320174,0.002091,0.028192,1.215711,1.409212,-0.578869,0.181241,-1.119129,0.008365,1.124925,-0.671912,0.999636,1.309128,-0.794742,,,,,,,0,0,0.0
2003-07-01,,,,,,4.374836,1.859898,-1.814768,-0.456675,0.514543,,,,,,,,2.854002,0.311059,0.985149,,,,,,0.903016,-0.614853,-0.613335,0.283284,-0.640054,-0.282759,0.045722,-0.04719,1.529682,2.052491,-0.434296,-0.246704,-1.044443,0.207781,0.667555,-1.378087,1.543944,-0.150226,-1.465385,,,,,,,0,0,0.0
2003-08-01,,,,,,3.816782,1.979494,-1.602623,-1.253535,0.438961,,,,,,,,2.237631,0.497451,0.928965,,,,,,0.394537,-0.29602,-0.51868,0.169573,-0.592407,-0.263062,0.08466,0.030881,1.884266,2.70066,-0.605877,-0.389217,-1.090518,1.000088,-0.072506,-2.081097,0.596365,0.10301,0.029812,,,,,,,0,0,0.0
2003-09-01,,,,,,3.358463,1.739038,-1.468033,-1.696488,0.736006,,,,,,,,1.907214,0.442197,0.673172,,,,,,0.391213,-0.435888,-0.295401,0.545104,-0.5211,-0.280085,0.049534,-0.005749,1.976506,2.163224,-0.836429,-0.707454,-1.049073,1.29803,-0.168005,-1.774951,-0.124991,1.336531,0.522516,,,,,,,0,0,0.0
2003-10-01,,,,,,2.54691,1.165996,-1.744963,-1.979159,1.158554,,,,,,,,1.837623,0.267856,0.354421,,,,,,0.175672,-0.210682,-0.152908,0.273718,-0.435353,-0.302024,0.117356,-0.032752,1.961207,1.707329,-1.058279,-0.904206,-1.063779,1.41768,0.03587,-2.06299,0.490567,0.869871,-0.904488,,,,,,,0,0,0.0
2003-11-01,,,,,,2.708485,0.724564,-1.775317,-1.093645,0.349085,,,,,,,,1.675886,0.170595,0.188507,,,,,,0.381789,-0.234971,-0.17281,0.077218,-0.348425,-0.342407,0.115509,0.030026,1.838836,1.627496,-1.087981,-0.007912,-0.937107,1.23532,0.004653,-3.265796,0.758159,-0.227774,-1.106183,,,,,,,0,0,0.0
2003-12-01,,,,,,2.39503,0.702627,-1.831293,-0.604347,0.136048,,,,,,,,1.408127,0.237139,0.166097,,,,,,0.126593,0.062065,0.111712,-0.310113,-0.293149,-0.377977,0.02808,0.012611,1.793621,1.579275,-1.147231,-0.371335,-0.769749,1.688857,-0.412833,-3.948069,-0.000381,-0.037429,0.209512,,,,,,,0,0,0.0
